,precision,recall,f1-score,support
COMMA,0.10417644298451431,0.3264705882352941,0.15795090715048027,680
PERIOD,0.2388362652232747,0.38327904451682954,0.2942892872030013,921
micro avg,0.15932391244111943,0.3591505309181761,0.2207293666026871,1601
macro avg,0.1715063541038945,0.35487481637606183,0.22612009717674078,1601
weighted avg,0.1816415874454127,0.3591505309181761,0.23638166794271756,1601
