,precision,recall,f1-score,support
COMMA,0.07230046948356808,0.32905982905982906,0.11855273287143957,468
PERIOD,0.3310719131614654,0.2975609756097561,0.3134232498394348,1640
micro avg,0.1781354051054384,0.3045540796963947,0.22478991596638656,2108
macro avg,0.20168619132251675,0.31331040233479257,0.2159879913554372,2108
weighted avg,0.2736217065005281,0.3045540796963947,0.270159776432878,2108
